a_opt,u_opt,Kmat_meas
no_action,0.008,143.979
repair,0.020999999534338714,136.131
no_action,0.006,145.373
no_action,0.003,147.924
repair,0.024999999459832906,118.102
no_action,0.0,163.255
no_action,0.001,150.693
no_action,0.0,165.556
repair,0.019999999552965164,140.086
no_action,0.0,178.525
no_action,0.0,173.75
no_action,0.0,161.309
no_action,0.0,162.049
no_action,0.0,163.854
no_action,0.0,216.833
repair,0.023999999478459356,120.47
no_action,0.0,195.358
no_action,0.012,142.582
no_action,0.004,147.076
no_action,0.001,150.617
no_action,0.0,162.141
no_action,0.001,152.666
no_action,0.0,156.051
no_action,0.0,155.401
repair,0.02299999949708581,123.292
no_action,0.0,170.08
repair,0.020999999534338714,132.409
repair,0.02299999949708581,122.945
no_action,0.0,177.076
no_action,0.0,154.821
no_action,0.001,152.438
repair,0.021999999515712264,129.512
no_action,0.0,162.19
repair,0.020999999534338714,135.793
repair,0.019999999552965164,139.719
repair,0.02299999949708581,123.812
repair,0.020999999534338714,135.144
no_action,0.001,151.781
no_action,0.0,172.517
no_action,0.0,159.503
no_action,0.0,157.544
repair,0.020999999534338714,137.446
no_action,0.001,152.133
no_action,0.0,154.813
no_action,0.0,160.02
no_action,0.008,143.953
no_action,0.015,141.345
no_action,0.012,142.455
no_action,0.009,143.76
no_action,0.0,159.121
no_action,0.0,160.31
no_action,0.0,181.196
no_action,0.0,164.503
no_action,0.0,191.137
no_action,0.0,164.667
repair,0.020999999534338714,135.183
no_action,0.0,154.878
no_action,0.001,151.298
no_action,0.0,166.674
repair,0.020999999534338714,130.706
repair,0.020999999534338714,131.224
no_action,0.012,142.389
no_action,0.0,189.46
no_action,0.001,150.483
repair,0.02299999949708581,124.357
no_action,0.0,169.872
no_action,0.005,145.94
repair,0.02299999949708581,123.86
no_action,0.0,160.526
no_action,0.0,161.09
no_action,0.0,161.202
no_action,0.0,158.721
repair,0.021999999515712264,125.07
no_action,0.0,157.207
reduce_operation,0.02500000037252903,115.802
no_action,0.0,158.206
no_action,0.0,180.91
no_action,0.016,141.243
no_action,0.002,149.793
no_action,0.006,145.275
no_action,0.006,145.027
no_action,0.008,144.069
reduce_operation,0.02500000037252903,109.672
no_action,0.0,178.972
repair,0.020999999534338714,134.749
repair,0.020999999534338714,137.652
no_action,0.001,152.673
no_action,0.0,153.269
no_action,0.001,150.461
repair,0.020999999534338714,132.706
no_action,0.014,141.672
no_action,0.001,151.099
no_action,0.0,164.498
no_action,0.001,151.602
no_action,0.0,172.793
no_action,0.0,235.425
repair,0.023999999478459356,121.143
repair,0.021999999515712264,128.344
no_action,0.0,161.217
repair,0.020999999534338714,138.05
no_action,0.0,174.94
no_action,0.0,156.374
repair,0.019999999552965164,139.452
repair,0.020999999534338714,130.048
no_action,0.0,158.011
reduce_operation,0.026000000348314643,101.024
repair,0.023999999478459356,120.185
no_action,0.003,148.312
repair,0.023999999478459356,119.808
repair,0.019999999552965164,139.393
repair,0.020999999534338714,132.577
repair,0.020999999534338714,132.61
no_action,0.007,144.882
no_action,0.018,140.5
no_action,0.0,166.096
no_action,0.0,173.353
no_action,0.001,152.07
no_action,0.001,150.537
no_action,0.0,169.082
no_action,0.002,149.294
no_action,0.001,152.294
no_action,0.0,171.558
no_action,0.011,142.858
repair,0.020999999534338714,135.721
no_action,0.0,155.796
repair,0.020999999534338714,134.846
no_action,0.012,142.387
no_action,0.0,156.193
no_action,0.002,148.749
no_action,0.002,149.61
repair,0.020999999534338714,138.211
no_action,0.014,141.726
no_action,0.0,163.904
repair,0.020999999534338714,135.613
reduce_operation,0.040000000009313225,94.3728
no_action,0.0,157.321
no_action,0.0,161.552
no_action,0.009,143.466
repair,0.020999999534338714,137.356
repair,0.020999999534338714,132.509
repair,0.02299999949708581,123.671
no_action,0.011,142.721
no_action,0.003,148.32
no_action,0.0,201.969
reduce_operation,0.02500000037252903,102.243
repair,0.020999999534338714,133.13
no_action,0.001,152.156
no_action,0.0,154.878
no_action,0.0,159.913
no_action,0.0,169.06
repair,0.02299999949708581,124.596
no_action,0.0,160.254
repair,0.020999999534338714,133.919
no_action,0.001,150.121
repair_reduce,0.04600000174343585,87.3398
no_action,0.0,189.756
repair,0.020999999534338714,137.203
reduce_operation,0.02500000037252903,113.452
repair,0.020999999534338714,136.099
repair,0.020999999534338714,134.228
no_action,0.0,154.134
repair,0.020999999534338714,135.674
no_action,0.0,161.315
no_action,0.0,154.093
no_action,0.0,172.843
repair,0.023999999478459356,120.128
repair,0.021999999515712264,125.671
reduce_operation,0.02500000037252903,114.313
repair,0.019999999552965164,139.333
repair,0.021999999515712264,126.957
no_action,0.01,143.187
no_action,0.0,187.033
repair,0.02299999949708581,123.345
no_action,0.003,147.381
no_action,0.005,145.802
no_action,0.0,189.383
