# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = AnnexJ_model
# start_datetime = 2023-10-02 19:46:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_data_1.json
# init = 2 (Default)
# random
#   seed = 4179057733 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/AnnexJ_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.850738
# Diagonal elements of inverse mass matrix:
# 0.00619975
-157.287,1,0.850738,1,1,0,157.3,38.6382,53.6778,73.1113
-158.743,0.847396,0.850738,2,3,0,158.989,34.641,175.599,73.1113
-157.237,1,0.850738,2,3,0,158.524,39.775,36.1417,73.1113
-157.345,0.979198,0.850738,1,3,0,157.394,41.1477,60.994,73.1113
-157.239,0.997091,0.850738,1,3,0,157.366,39.861,113.766,73.1113
-157.832,0.877756,0.850738,1,3,0,158.227,36.3802,54.8623,73.1113
-158.245,0.973612,0.850738,2,3,0,158.276,35.477,132.309,73.1113
-157.817,1,0.850738,1,1,0,158.187,36.4201,111.145,73.1113
-158.174,0.931218,0.850738,1,1,0,158.21,35.6139,104.864,73.1113
-158.118,1,0.850738,2,3,0,158.317,35.7271,33.0172,73.1113
-158.072,1,0.850738,2,3,0,158.256,35.8228,93.791,73.1113
-159.207,0.791045,0.850738,1,1,0,159.213,34.0008,111.399,73.1113
-157.316,1,0.850738,2,3,0,159.235,38.3902,30.7013,73.1113
-157.354,0.952661,0.850738,1,3,0,157.721,41.2086,86.4018,73.1113
-157.421,0.988871,0.850738,1,1,0,157.426,41.621,117.504,73.1113
-157.539,0.835335,0.850738,2,3,0,159.104,42.2042,84.6543,73.1113
-157.656,0.968294,0.850738,2,3,0,157.973,42.683,58.0997,73.1113
-157.725,0.988903,0.850738,1,1,0,157.774,42.9398,12.9131,73.1113
-157.376,0.907442,0.850738,2,7,0,158.649,38.008,114.681,73.1113
-157.297,1,0.850738,1,1,0,157.361,38.5464,-12.767,73.1113
-157.276,1,0.850738,1,1,0,157.296,38.7471,27.0051,73.1113
-157.268,0.985402,0.850738,1,3,0,157.411,40.4456,63.0532,73.1113
-158.326,0.9054,0.850738,2,3,0,158.327,35.3273,165.866,73.1113
-158.025,1,0.850738,1,1,0,158.345,35.9241,99.765,73.1113
-157.929,1,0.850738,1,1,0,158.112,36.1417,38.8824,73.1113
-157.929,0.805662,0.850738,1,1,0,158.774,36.1417,142.629,73.1113
-157.242,0.982777,0.850738,1,3,0,158.078,39.2936,107.21,73.1113
-157.238,0.998831,0.850738,1,3,0,157.252,39.8037,140.698,73.1113
-157.66,0.916484,0.850738,1,3,0,157.887,42.7008,93.196,73.1113
-157.395,0.91136,0.850738,1,3,0,158.579,37.9023,64.5806,73.1113
-157.243,0.90076,0.850738,2,3,0,158.294,39.2649,134.323,73.1113
-157.336,0.971737,0.850738,1,3,0,157.456,41.0802,21.1068,73.1113
-157.311,1,0.850738,2,3,0,157.338,40.8854,70.362,73.1113
-157.416,0.941934,0.850738,1,3,0,157.837,37.794,71.5158,73.1113
-157.375,0.937607,0.850738,1,3,0,158.007,41.3474,61.1339,73.1113
-157.829,0.944794,0.850738,2,3,0,157.999,43.296,53.0844,73.1113
-157.896,0.989496,0.850738,1,1,0,157.972,43.51,13.3752,73.1113
-158.273,0.942706,0.850738,1,1,0,158.296,44.5782,101.404,73.1113
-157.248,0.939695,0.850738,2,3,0,159.119,39.1511,129.374,73.1113
-158.369,0.81518,0.850738,1,3,0,158.776,35.2491,60.5799,73.1113
-160.12,0.688778,0.850738,1,1,0,160.124,32.9704,95.7686,73.1113
-158.416,1,0.850738,1,1,0,159.765,35.1671,29.9748,73.1113
-157.24,1,0.850738,2,3,0,158.283,39.3717,108.933,73.1113
-157.237,0.997716,0.850738,2,3,0,157.259,39.5024,58.6503,73.1113
-157.862,0.935429,0.850738,2,3,0,157.894,36.3048,-3.67236,73.1113
-157.252,1,0.850738,2,3,0,157.827,39.068,27.0252,73.1113
-158.271,0.762041,0.850738,1,3,0,159.239,44.5741,23.3164,73.1113
-157.263,1,0.850738,2,3,0,158.16,40.3724,83.5319,73.1113
-158.443,0.876962,0.850738,2,3,0,158.503,45.0037,56.8082,73.1113
-157.901,1,0.850738,1,1,0,158.366,43.528,41.7426,73.1113
-157.765,1,0.850738,1,1,0,157.928,43.0796,86.4138,73.1113
-158.382,0.939255,0.850738,3,7,0,158.571,35.2269,65.0673,73.1113
-157.388,0.973751,0.850738,3,7,0,158.574,37.9418,146.768,73.1113
-157.241,1,0.850738,2,3,0,157.379,39.3206,91.4769,73.1113
-157.93,0.927679,0.850738,2,3,0,157.982,36.1402,64.8667,73.1113
-157.793,0.999325,0.850738,3,7,0,157.922,43.1774,93.5538,73.1113
-157.237,0.930776,0.850738,2,3,0,158.568,39.7772,95.0846,73.1113
-157.42,0.934365,0.850738,2,3,0,157.785,41.6136,108.358,73.1113
-157.314,0.912667,0.850738,2,3,0,158.282,40.906,52.5001,73.1113
-157.292,1,0.850738,1,1,0,157.314,40.7038,49.3712,73.1113
-157.241,0.981128,0.850738,2,3,0,157.465,39.9343,102.572,73.1113
-157.532,0.946332,0.850738,1,3,0,157.657,42.1745,104.794,73.1113
-157.867,0.947336,0.850738,1,1,0,157.867,43.4197,46.9099,73.1113
-157.309,0.919964,0.850738,1,3,0,158.676,38.4471,98.4337,73.1113
-157.89,0.937627,0.850738,2,7,0,157.913,43.4931,10.2468,73.1113
-157.976,0.98663,0.850738,1,1,0,158.056,43.7549,71.9003,73.1113
-157.237,0.969853,0.850738,2,3,0,158.365,39.5312,79.4398,73.1113
-157.694,0.872268,0.850738,2,3,0,158.33,42.8284,37.6607,73.1113
-157.502,0.983101,0.850738,2,3,0,157.947,42.0331,203.483,73.1113
-158.085,0.820194,0.850738,1,3,0,159.752,35.7962,62.1938,73.1113
-157.969,1,0.850738,1,1,0,158.17,36.0496,113.931,73.1113
-158.171,0.991434,0.850738,2,7,0,158.174,44.3086,33.5415,73.1113
-157.791,1,0.850738,1,1,0,158.124,43.168,47.2144,73.1113
-157.314,0.923855,0.850738,1,3,0,158.555,38.4114,68.6183,73.1113
-157.346,0.955622,0.850738,1,3,0,157.695,41.1516,38.695,73.1113
-157.834,0.868451,0.850738,1,3,0,158.766,36.3756,67.4311,73.1113
-157.298,0.922323,0.850738,1,3,0,158.508,40.7666,74.6516,73.1113
-158.442,0.88821,0.850738,3,7,0,158.491,35.122,102.453,73.1113
-157.94,0.725737,0.850738,1,3,0,161.763,43.6482,29.9341,73.1113
-158.287,0.947316,0.850738,1,1,0,158.32,44.6153,44.3383,73.1113
-158.333,0.999009,0.850738,3,7,0,158.333,44.7315,88.9479,73.1113
-157.246,0.961983,0.850738,1,3,0,158.689,40.0768,71.5882,73.1113
-159.413,0.783643,0.850738,2,3,0,159.453,47.0762,84.0315,73.1113
-157.506,0.994449,0.850738,2,7,0,159.181,37.3996,57.9865,73.1113
-158.668,0.892046,0.850738,3,7,0,158.669,34.7545,138.528,73.1113
-157.99,1,0.850738,1,1,0,158.556,36.001,88.6169,73.1113
-158.082,0.998003,0.850738,3,7,0,158.082,44.063,37.5507,73.1113
-157.339,0.894304,0.850738,1,3,0,159.193,38.2324,64.8913,73.1113
-158.496,0.865377,0.850738,2,3,0,158.808,35.0312,131.941,73.1113
-158.795,0.987092,0.850738,2,7,0,158.805,45.8132,72.6218,73.1113
-157.699,1,0.850738,3,7,0,158.624,42.8467,18.4135,73.1113
-157.582,1,0.850738,1,1,0,157.707,42.3905,90.9314,73.1113
-157.26,0.969257,0.850738,1,3,0,157.948,38.9463,30.4409,73.1113
-157.453,0.979327,0.850738,2,7,0,157.459,41.791,79.502,73.1113
-157.506,0.996263,0.850738,3,7,0,157.513,37.4006,63.606,73.1113
-157.658,0.971334,0.850738,1,1,0,157.675,36.8699,112.964,73.1113
-157.407,1,0.850738,1,1,0,157.611,37.8396,134.483,73.1113
-157.276,0.967124,0.850738,1,3,0,157.69,40.5338,190.154,73.1113
-157.345,0.933393,0.850738,2,3,0,157.872,41.1428,103.93,73.1113
-157.334,0.960735,0.850738,1,3,0,157.734,38.2637,96.2003,73.1113
-157.241,0.986708,0.850738,2,3,0,157.472,39.9442,84.1169,73.1113
-157.986,0.860492,0.850738,1,3,0,158.37,43.7854,-3.50313,73.1113
-157.715,1,0.850738,1,1,0,157.961,42.9042,-15.1546,73.1113
-157.417,0.902666,0.850738,1,3,0,158.757,37.7908,50.9647,73.1113
-157.612,0.862149,0.850738,1,3,0,158.597,42.5115,58.6629,73.1113
-158.062,0.930575,0.850738,1,1,0,158.062,44.0055,80.8128,73.1113
-157.237,0.96089,0.850738,1,3,0,158.494,39.5375,80.3077,73.1113
-158.389,0.796832,0.850738,1,3,0,158.948,35.2139,16.1755,73.1113
-157.247,0.933583,0.850738,1,3,0,159.009,40.0963,14.4892,73.1113
-158.049,0.832678,0.850738,1,3,0,158.658,35.8715,37.0409,73.1113
-157.82,0.733057,0.850738,1,3,0,160.606,43.2671,28.2275,73.1113
-157.787,1,0.850738,1,1,0,157.895,43.1565,-5.89432,73.1113
-157.33,0.997121,0.850738,2,7,0,157.764,41.0354,75.736,73.1113
-157.38,0.991706,0.850738,1,1,0,157.384,41.3773,141.638,73.1113
-157.279,0.970752,0.850738,1,3,0,157.654,38.7223,75.4745,73.1113
-157.371,0.989397,0.850738,2,7,0,157.39,41.3239,50.5664,73.1113
-157.244,0.988723,0.850738,1,3,0,157.506,39.2274,21.3964,73.1113
-157.298,0.981101,0.850738,1,3,0,157.389,40.761,50.7293,73.1113
-157.242,0.999971,0.850738,2,7,0,157.289,39.2876,52.966,73.1113
-157.331,0.975748,0.850738,1,3,0,157.443,41.0438,33.5528,73.1113
-157.318,1,0.850738,1,1,0,157.339,40.9367,60.2378,73.1113
-157.454,0.934106,0.850738,2,7,0,157.934,37.6154,52.6505,73.1113
-157.285,0.99969,0.850738,2,7,0,157.442,40.6407,126.555,73.1113
-157.252,0.989395,0.850738,1,3,0,157.382,39.081,152.866,73.1113
-157.589,0.905896,0.850738,1,3,0,157.977,42.4197,58.5388,73.1113
-157.526,1,0.850738,1,1,0,157.609,42.1463,100.534,73.1113
-158.197,0.805365,0.850738,1,3,0,160.046,35.5691,46.1227,73.1113
-158.197,0.924872,0.850738,1,1,0,158.597,35.5691,74.0746,73.1113
-158.197,0.885974,0.850738,1,1,0,158.728,35.5691,1.47775,73.1113
-158.33,0.97323,0.850738,1,1,0,158.48,35.3192,-1.87203,73.1113
-158.275,1,0.850738,1,1,0,158.505,35.4206,68.5313,73.1113
-157.247,1,0.850738,2,3,0,158.187,39.1578,53.0405,73.1113
-157.256,0.997969,0.850738,2,3,0,157.27,39.0078,102.286,73.1113
-157.277,0.984691,0.850738,2,7,0,157.384,40.554,36.4507,73.1113
-157.237,0.998927,0.850738,1,3,0,157.285,39.7702,105.12,73.1113
-157.345,0.974993,0.850738,1,3,0,157.427,38.1944,129.683,73.1113
-157.345,0.977829,0.850738,1,1,0,157.444,38.1944,91.1896,73.1113
-157.466,0.977758,0.850738,1,1,0,157.467,37.5666,87.4101,73.1113
-157.339,1,0.850738,2,3,0,157.443,38.2311,70.101,73.1113
-157.56,0.974476,0.850738,2,7,0,157.608,42.2967,16.8829,73.1113
-157.912,0.944906,0.850738,1,1,0,157.912,43.5612,78.519,73.1113
-157.37,0.941533,0.850738,3,7,0,158.506,38.037,127.81,73.1113
-157.236,0.993598,0.850738,1,3,0,157.433,39.693,28.383,73.1113
-160.005,0.729214,0.850738,2,3,0,160.021,48.1592,84.4315,73.1113
-159.871,1,0.850738,1,1,0,160.344,47.9227,53.4059,73.1113
-159.127,1,0.850738,2,3,0,159.865,46.5122,0.366251,73.1113
