# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = BS7910_us_model
# start_datetime = 2023-10-03 02:26:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_data_1.json
# init = 2 (Default)
# random
#   seed = 4203047700 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/BS7910_us_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_MPa_m_pred,mu_pred
# Adaptation terminated
# Step size = 0.91106
# Diagonal elements of inverse mass matrix:
# 0.00670804
-157.393,0.97066,0.91106,1,3,0,157.418,41.4622,89.8353,71.2
-159.261,0.605807,0.91106,1,3,0,160.667,33.9323,34.372,71.2
-158.716,1,0.91106,2,3,0,159.373,34.6807,113.612,71.2
-157.365,1,0.91106,1,3,0,158.476,38.069,1.0197,71.2
-157.442,0.994088,0.91106,2,3,0,157.456,37.6699,51.9628,71.2
-157.445,0.999827,0.91106,2,3,0,157.491,37.6598,113.069,71.2
-157.368,0.945839,0.91106,1,3,0,157.869,41.3029,83.0189,71.2
-157.27,0.999773,0.91106,2,7,0,157.349,38.8159,113.854,71.2
-157.33,0.96953,0.91106,1,3,0,157.479,41.0364,83.5173,71.2
-157.237,0.995831,0.91106,1,3,0,157.361,39.4752,74.2156,71.2
-157.257,0.994232,0.91106,1,3,0,157.272,40.276,65.8294,71.2
-157.477,0.965524,0.91106,2,3,0,157.558,41.9153,48.3832,71.2
-157.254,0.981314,0.91106,1,3,0,157.626,39.0435,68.6908,71.2
-157.624,0.955455,0.91106,2,3,0,157.629,42.5587,127.4,71.2
-157.448,1,0.91106,1,1,0,157.599,41.7653,22.1613,71.2
-157.26,0.995444,0.91106,2,3,0,157.489,40.325,73.982,71.2
-157.266,0.989337,0.91106,2,7,0,157.337,38.8727,63.673,71.2
