# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Barson_Rolfe_model
# start_datetime = 2023-10-03 02:25:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_data_1.json
# init = 2 (Default)
# random
#   seed = 4202960196 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Barson_Rolfe_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,Kmat_pred_ksi,mu_pred
# Adaptation terminated
# Step size = 0.912853
# Diagonal elements of inverse mass matrix:
# 0.0185225
-70.4481,0.747822,0.912853,1,1,0,71.2016,4.94851,129.781,135.185
-70.205,1,0.912853,2,3,0,70.4481,5.09174,137.076,135.185
-70.0817,1,0.912853,2,3,0,70.2257,5.18319,126.452,135.185
-69.8156,0.974501,0.912853,2,3,0,70.2782,5.50684,147.735,135.185
-69.7873,0.98441,0.912853,2,3,0,69.9512,5.93776,134.788,135.185
-70.8921,0.867013,0.912853,2,3,0,70.9957,7.1291,137.512,135.185
-69.8989,0.995511,0.912853,2,3,0,70.9467,6.1852,140.968,135.185
-70.513,0.837752,0.912853,1,3,0,71.2662,4.91572,142.128,135.185
-72.3845,0.83597,0.912853,2,3,0,72.4156,4.33674,147.456,135.185
-70.3223,1,0.912853,1,1,0,71.7753,5.01792,142.485,135.185
-71.6129,0.687316,0.912853,1,1,0,71.6313,4.5227,141.5,135.185
-70.3681,1,0.912853,1,1,0,71.276,4.99163,125.877,135.185
-70.4393,0.993537,0.912853,2,3,0,70.5773,4.95309,127.204,135.185
-71.1445,0.814992,0.912853,1,1,0,71.2192,4.66347,131.692,135.185
-70.5291,1,0.912853,1,1,0,71.07,4.90787,133.824,135.185
-70.6222,0.973933,0.912853,1,1,0,70.801,4.86436,132.35,135.185
-74.8995,0.243983,0.912853,1,1,0,74.9114,3.92372,137.251,135.185
-70.6617,1,0.912853,1,1,0,73.5105,4.8468,131.398,135.185
-70.5159,1,0.912853,1,1,0,70.7855,4.91433,140.447,135.185
-70.02,1,0.912853,1,1,0,70.3923,5.2369,134.11,135.185
-70.332,0.778927,0.912853,1,3,0,71.4694,6.68403,132.107,135.185
-70.0456,1,0.912853,1,1,0,70.286,6.38845,145.692,135.185
-70.0656,0.917462,0.912853,2,3,0,70.9732,5.1966,140.978,135.185
-69.9309,0.944866,0.912853,2,3,0,70.5387,5.32934,137.391,135.185
-69.9293,0.925019,0.912853,2,7,0,70.4334,6.23302,142.119,135.185
-69.9564,0.994971,0.912853,1,1,0,69.9817,6.27257,121.792,135.185
-70.6025,0.825504,0.912853,1,3,0,71.5417,4.8733,135.645,135.185
-70.0308,1,0.912853,1,1,0,70.4566,5.22703,142.81,135.185
-70.1035,0.993891,0.912853,2,3,0,70.1522,5.16569,134.949,135.185
-70.1035,0.713912,0.912853,1,1,0,70.9896,5.16569,140.885,135.185
-69.7637,0.997873,0.912853,2,3,0,70.126,5.69514,137.342,135.185
-69.9287,0.955016,0.912853,1,3,0,70.0387,6.23212,133.664,135.185
-69.87,0.988676,0.912853,2,3,0,70.0734,6.13509,133.474,135.185
-70.2869,0.741117,0.912853,2,3,0,72.1901,6.64235,130.192,135.185
-70.0895,1,0.912853,1,1,0,70.2705,6.4397,130.217,135.185
