# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = Kmat_model
# start_datetime = 2023-10-03 03:36:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_data_1.json
# init = 2 (Default)
# random
#   seed = 4207215578 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/Kmat_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.485301
# Diagonal elements of inverse mass matrix:
# 0.00453955, 0.30781
-18.5363,1,0.485301,2,3,0,20.2638,140.132,20.842,140.461
-18.7082,0.990916,0.485301,3,7,0,19.1064,153.968,12.4949,168.234
-19.4908,0.564644,0.485301,3,7,0,21.9705,130.238,14.2792,125.994
-19.3024,1,0.485301,3,7,0,19.5837,130.687,16.4323,134.943
-19.3936,0.955054,0.485301,2,3,0,19.9835,130.483,14.8149,136.976
-19.0313,1,0.485301,1,1,0,19.3606,132.086,15.4476,144.252
-20.265,1,0.485301,2,5,0,21.6931,125.714,21.8229,130.701
-19.0602,0.945812,0.485301,2,7,0,20.6635,132.02,14.5221,125.941
-17.8643,1,0.485301,2,3,0,19.0123,144.476,15.9989,99.723
-17.6142,1,0.485301,3,7,0,17.848,144.169,12.962,136.209
-17.9475,0.959635,0.485301,3,7,0,18.3725,142.731,7.05414,147.733
-18.1879,0.79284,0.485301,1,3,0,19.8236,137.042,10.6078,149.579
-19.3704,0.829941,0.485301,2,3,0,19.6556,149.805,6.59965,169.623
-18.2225,1,0.485301,2,3,0,19.0929,147.706,7.8143,142.357
-17.906,0.999735,0.485301,3,7,0,18.3907,140.676,15.178,133.698
-18.6333,0.934762,0.485301,3,7,0,19.4115,142.039,22.3955,157.646
-18.3841,0.955697,0.485301,3,7,0,20.1393,147.957,7.48156,149.392
-18.0009,1,0.485301,1,1,0,18.3144,145.882,7.50131,156.161
-19.4153,0.877811,0.485301,2,3,0,19.913,136.538,6.5225,137.205
-17.8306,0.939003,0.485301,2,3,0,19.6759,145.744,8.18631,148.582
-17.6851,1,0.485301,3,7,0,17.905,140.695,9.97031,138.005
-17.6929,0.997126,0.485301,3,7,0,17.7438,147.136,11.2662,129.864
-18.3471,0.976811,0.485301,3,7,0,18.4797,150.205,19.541,124.375
-17.8394,0.990406,0.485301,2,7,0,18.4107,148.651,13.1968,148.664
-19.4656,0.832614,0.485301,3,7,0,20.1221,159.374,15.8292,162.027
-18.6566,0.921071,0.485301,2,3,0,20.0981,155.159,17.6428,136.272
-18.5291,1,0.485301,1,1,0,18.6566,153.894,18.2092,140.322
-18.0599,0.999749,0.485301,3,7,0,18.6254,147.215,17.651,137.006
-18.5203,0.9781,0.485301,2,3,0,18.5551,146.335,22.0693,135.454
-18.8236,0.996925,0.485301,3,7,0,19.0477,156.056,15.7201,151
-19.916,0.657791,0.485301,2,3,0,22.3351,164.759,22.3417,177.673
-18.1946,0.926548,0.485301,2,5,0,20.6368,136.881,10.9858,129.702
-17.7431,0.937016,0.485301,2,3,0,19.046,141.888,14.0385,150.402
-17.9094,0.996332,0.485301,3,7,0,17.9503,139.99,14.6704,153.507
-18.6307,0.914823,0.485301,2,5,0,19.3312,152.84,21.2382,189.065
-18.7528,0.96355,0.485301,3,7,0,19.3857,153.98,12.2126,136.313
-18.635,1,0.485301,1,1,0,18.8656,153.738,12.6683,148.497
-18.4234,1,0.485301,2,3,0,18.6639,153.185,13.9741,147.637
-18.4234,0.876006,0.485301,1,3,0,19.953,153.185,13.9741,160.607
-17.5716,0.993043,0.485301,2,5,0,18.4153,144.641,12.0126,158.977
-18.0182,0.938873,0.485301,2,7,0,18.6736,141.949,16.9537,110.27
-20.4644,0.908163,0.485301,3,7,0,20.8193,147.363,39.4328,123.013
-19.2068,0.995862,0.485301,2,3,0,20.7541,150.266,28.0773,146.939
-19.0963,0.999147,0.485301,2,3,0,19.5183,154.92,25.5823,160.853
-19.117,0.895451,0.485301,2,7,0,20.1137,142.786,26.7161,123.8
-18.7763,0.994919,0.485301,2,7,0,19.6914,138.211,21.9452,149.736
-18.8272,0.971083,0.485301,3,7,0,19.6067,151.941,9.46825,146.381
-18.3643,1,0.485301,1,1,0,18.834,151.231,10.7005,171.3
-17.9386,0.99863,0.485301,3,7,0,18.5785,149.066,14.9117,135.189
-17.8029,0.93327,0.485301,1,3,0,19.1507,140.784,14.0349,123.573
-18.2353,0.967118,0.485301,2,3,0,18.4457,136.459,13.3484,150.037
-17.968,0.992716,0.485301,2,7,0,18.4643,148.279,16.1342,163.892
-18.0828,0.991917,0.485301,3,7,0,18.1844,139.517,7.91008,136.006
-19.7437,0.824878,0.485301,2,3,0,19.7451,135.192,6.94094,140.436
-17.9256,0.957597,0.485301,3,7,0,20.7587,149.354,13.9997,138.652
-19.3262,0.679082,0.485301,2,3,0,23.7958,131.846,11.9528,132.732
-18.8498,0.966784,0.485301,3,7,0,20.2328,137.388,22.0881,105.183
-18.703,0.9699,0.485301,2,7,0,19.1007,140.775,22.56,149.515
-19.6869,0.970597,0.485301,3,7,0,20.58,148.244,32.4999,179.416
-17.6471,0.996652,0.485301,3,7,0,19.8924,146.414,10.6267,141.374
-17.8653,0.963051,0.485301,3,7,0,18.5721,144.393,7.49019,145.586
-17.6331,1,0.485301,2,3,0,17.8602,141.947,9.2081,132.397
-18.0647,0.950967,0.485301,1,3,0,18.5236,143.645,6.65935,135.89
-19.1339,0.945944,0.485301,2,3,0,19.1468,142.326,4.54993,148.349
-20.8638,0.465495,0.485301,2,3,0,21.4311,135.807,5.05897,138.368
-20.2412,1,0.485301,1,1,0,21.3507,136.467,5.36104,131.552
-19.4059,0.981605,0.485301,2,5,0,21.3077,149.626,29.9671,152.336
-18.7353,1,0.485301,2,3,0,19.461,149.126,23.8018,131.964
-17.8392,0.939558,0.485301,3,7,0,19.7276,146.038,8.315,139
-18.7679,0.508536,0.485301,3,7,0,21.7401,151.265,23.6015,113.913
-18.858,1,0.485301,2,3,0,18.9516,153.551,23.5487,116.29
-17.9386,0.978293,0.485301,3,7,0,19.8775,149.48,12.0142,163.553
-17.7153,0.994766,0.485301,3,7,0,18.0385,140.203,10.6446,152.464
-17.6098,0.9884,0.485301,2,3,0,17.927,142.858,12.6321,139.874
-17.6868,0.994124,0.485301,3,7,0,17.8334,146.722,12.932,130.942
-19.4805,0.951567,0.485301,3,7,0,19.7911,145.875,4.54374,144.439
-18.6968,1,0.485301,2,5,0,20.0717,139.844,22.1115,144.264
-21.1919,0.944391,0.485301,2,7,0,21.5472,169.952,19.9693,163.072
-20.2938,1,0.485301,2,3,0,21.1582,168.475,27.2312,170.258
-19.5027,0.992894,0.485301,2,3,0,20.3651,161.65,23.4635,177.209
-20.8391,0.972499,0.485301,2,7,0,23.0255,170.018,39.0092,194.029
-20.5266,1,0.485301,2,3,0,20.905,170.025,32.6831,162.456
-20.1262,0.986684,0.485301,2,3,0,20.6363,164.269,32.7648,127.737
-19.7671,0.999255,0.485301,2,3,0,20.3388,163.848,25.1481,181.564
-19.816,1,0.485301,2,3,0,19.9511,163.64,27.705,159.367
-21.4417,0.879704,0.485301,2,3,0,21.7058,173.99,23.3757,191.15
-21.6527,0.965928,0.485301,2,3,0,21.9693,173.767,21.9876,205.148
-20.585,1,0.485301,1,1,0,21.4243,169.795,24.222,185.016
-21.2784,1,0.485301,3,7,0,21.3737,171.722,44.2575,116.843
-20.537,1,0.485301,2,7,0,21.4941,167.477,36.3916,284.998
-20.9538,0.945223,0.485301,3,7,0,21.4405,169.004,20.0494,150.738
-22.3586,0.745573,0.485301,2,3,0,22.7878,169.557,16.0794,160.507
-20.1328,1,0.485301,2,3,0,21.8184,166.684,23.9326,189.352
-19.6099,0.997088,0.485301,2,3,0,20.1886,162.38,24.9437,88.2055
-18.0298,0.951302,0.485301,2,7,0,20.741,143.075,17.3986,165.247
-17.6594,1,0.485301,2,3,0,18.0164,145.591,13.3387,131.443
-18.811,0.919938,0.485301,3,7,0,19.2362,151.227,24.0555,163.225
-18.1414,0.98568,0.485301,2,7,0,18.8782,151.212,14.9408,114.67
-18.9975,0.943133,0.485301,3,7,0,19.1406,135.757,8.10523,135.765
-17.7034,0.900201,0.485301,3,7,0,19.6348,143.048,8.20736,153.696
-17.8223,0.974314,0.485301,3,7,0,17.9608,145.851,8.29401,160.437
-18.6256,0.973973,0.485301,2,7,0,18.6675,140.957,5.64671,140.23
-17.57,0.99142,0.485301,2,3,0,18.7717,142.684,9.75745,148.016
-18.3383,0.942761,0.485301,2,3,0,18.5431,142.249,5.97843,144.092
-18.541,0.954754,0.485301,2,3,0,18.6334,140.238,6.08199,149.52
-18.1843,1,0.485301,2,3,0,18.6106,144.639,6.48,142.271
-17.6222,0.926835,0.485301,3,7,0,18.5334,145.204,9.47605,132.998
-18.1957,0.984355,0.485301,3,7,0,18.3539,141.945,6.38986,138.492
-17.8631,0.994189,0.485301,2,3,0,18.4039,140.899,8.02805,134.18
-17.7545,1,0.485301,2,3,0,18.0399,145.598,8.5532,144.403
-19.0224,0.926152,0.485301,2,7,0,20.1684,146.931,26.5068,174.579
-18.7032,0.910186,0.485301,2,7,0,20.8654,155.527,17.6341,128.364
-17.8119,0.95236,0.485301,3,7,0,19.3103,139.448,12.256,124.374
-19.5842,0.92627,0.485301,2,7,0,20.3275,145.507,4.30604,145.372
-18.8836,1,0.485301,2,3,0,19.6758,140.53,5.30544,139.69
-18.4652,0.863995,0.485301,2,3,0,19.7888,146.14,6.29561,151.555
-18.4652,0.611497,0.485301,1,1,0,19.2394,146.14,6.29561,146.38
-17.6789,1,0.485301,2,3,0,18.4684,140.724,10.0622,143.498
-18.0215,0.96751,0.485301,3,7,0,18.8637,145.941,17.5034,151.709
-18.7504,0.952108,0.485301,1,3,0,19.0841,146.168,24.0878,139.257
-17.9559,0.995483,0.485301,2,7,0,18.7143,147.979,16.1682,151.833
-18.5138,0.973944,0.485301,2,3,0,18.5212,147.636,21.9406,160.504
-19.424,0.891318,0.485301,2,7,0,21.528,149.291,6.20151,150.438
-18.0325,1,0.485301,1,1,0,18.9901,145.923,7.40501,163.578
-17.732,0.972247,0.485301,1,3,0,18.7045,147.289,10.5644,132.389
-17.8361,0.973904,0.485301,1,1,0,17.8638,147.804,10.0026,146.487
-19.1384,0.824137,0.485301,2,7,0,19.9002,149.062,6.5268,152.822
-18.7769,0.958796,0.485301,2,3,0,19.8258,134.656,10.3685,127.892
-17.7944,0.822262,0.485301,2,3,0,19.5636,142.256,7.80942,150.864
-17.7158,0.954391,0.485301,2,3,0,18.2325,145.047,8.51685,151.71
-17.6624,0.924011,0.485301,1,3,0,18.3184,140.755,10.8069,133.626
-17.731,0.995836,0.485301,2,3,0,17.7467,140.128,10.295,143.246
-17.6747,0.92038,0.485301,1,3,0,18.5067,146.919,11.2184,139.714
-18.9911,0.847957,0.485301,3,7,0,20.5937,157.647,18.1696,173.886
-18.8075,1,0.485301,2,3,0,18.9844,156.173,19.304,176.834
-18.891,0.992515,0.485301,3,7,0,19.0502,155.051,22.8576,159.861
-17.7296,0.968876,0.485301,3,7,0,19.0426,140.083,10.5399,139.96
-17.6717,0.998778,0.485301,2,3,0,17.8311,141.174,12.3854,123.028
-17.7106,0.99821,0.485301,2,7,0,17.7265,146.626,9.82803,147.016
-22.3119,0.588948,0.485301,2,3,0,23.5676,128.704,8.30105,109.2
-21.0371,0.973147,0.485301,2,7,0,23.0673,140.297,42.8996,79.1688
-18.5937,0.97524,0.485301,2,3,0,21.7249,149.62,22.3414,164.623
-18.3949,0.957663,0.485301,3,7,0,19.4264,153.223,15.3461,147.448
-19.8586,0.921484,0.485301,3,7,0,20.2553,155.794,33.5976,168.264
-19.1913,1,0.485301,2,3,0,19.8844,158.671,23.1149,194.352
-21.7041,0.810546,0.485301,3,15,0,25.099,118.53,32.127,149.683
-20.8046,0.988193,0.485301,2,3,0,21.8545,124.958,30.3196,112.924
-19.7487,0.962165,0.485301,1,3,0,21.835,128.461,19.7828,118.813
-18.152,0.9203,0.485301,2,5,0,20.1007,136.915,12.3955,130.136
-17.654,0.973221,0.485301,1,3,0,18.7699,141.413,9.40921,145.528
-20.3637,0.754765,0.485301,3,7,0,20.6405,163.001,36.8512,164.936
-19.478,0.926896,0.485301,2,7,0,21.0256,161.274,24.16,174.551
-19.576,1,0.485301,1,1,0,19.583,162.037,24.9509,129.311
-19.0716,1,0.485301,2,3,0,19.7021,156.707,23.8502,142.081
-18.8635,0.876037,0.485301,2,3,0,23.3989,150.273,24.8171,155.223
-17.7504,0.932448,0.485301,2,7,0,20.1955,142.21,8.07482,137.77
-17.7628,0.99939,0.485301,2,3,0,17.845,144.059,7.91074,149.482
-18.1458,0.980315,0.485301,3,7,0,18.2289,140.62,6.97852,139.296
-18.8897,0.544961,0.485301,2,7,0,22.2292,155.633,13.9326,150.958
-17.5876,1,0.485301,2,3,0,21.187,144.605,9.55541,135.454
-18.2634,0.817676,0.485301,1,3,0,20.1883,152.209,14.3576,175.415
-18.1134,0.901207,0.485301,2,3,0,19.0731,150.258,11.1628,149.442
-18.571,0.956304,0.485301,2,3,0,18.9792,135.623,10.0421,145.348
-19.4266,0.819781,0.485301,1,1,0,19.4751,133.211,9.5356,120.351
-19.4266,0.422793,0.485301,1,1,0,21.2114,133.211,9.5356,135.26
-18.7937,1,0.485301,3,7,0,19.6423,156.209,17.6935,166.82
-18.9027,1,0.485301,2,3,0,18.9844,156.889,19.9211,144.617
-19.8915,0.953123,0.485301,2,3,0,19.9473,156.453,33.7869,145.932
-17.9934,0.993947,0.485301,3,7,0,19.933,150.019,12.617,140.192
-19.7635,0.882843,0.485301,2,5,0,20.9428,163.545,26.4188,147.825
-20.0211,0.983958,0.485301,2,3,0,20.0457,166.009,24.7642,207.573
-19.3271,0.999201,0.485301,3,7,0,20.1172,156.385,27.524,190.958
-18.3687,0.990283,0.485301,2,7,0,21.9815,144.92,20.6837,125.237
-18.2522,0.974703,0.485301,3,7,0,20.476,149.851,18.6434,110.662
-17.9394,0.972551,0.485301,2,7,0,18.8275,149.622,13.1863,155.034
-17.5729,1,0.485301,2,3,0,17.9663,142.422,11.4883,171.261
-17.6896,0.993198,0.485301,2,3,0,17.71,142.476,13.6489,146.66
-17.7826,0.996851,0.485301,3,7,0,17.8409,148.168,12.198,158.827
-17.9536,0.8921,0.485301,1,3,0,19.5721,138.313,10.8367,140.57
-19.8571,0.787498,0.485301,3,7,0,21.7925,135.879,30.3826,127.999
