# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = normal_model
# start_datetime = 2023-10-02 10:28:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2500
#     num_warmup = 10000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_data_1.json
# init = 2 (Default)
# random
#   seed = 4145551467 (Default)
# output
#   file = /Users/ddifrancesco/Github/IMAC_XLII/tmp/normal_chain.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_k,sigma_k,Kmat_pred
# Adaptation terminated
# Step size = 0.522476
# Diagonal elements of inverse mass matrix:
# 0.000627102, 1.094
-44.3936,0.764164,0.522476,3,7,0,46.1846,142.437,0.187134,142.579
-40.3179,0.99913,0.522476,2,7,0,46.5276,145.894,3.71084,150.221
-40.789,0.973456,0.522476,3,7,0,41.0692,152.333,5.75637,150.888
-40.7443,0.873015,0.522476,2,3,0,42.2464,150.453,2.93369,151.799
-40.2038,0.93906,0.522476,2,7,0,42.0556,146.798,3.77179,145.653
-40.7887,0.948154,0.522476,2,7,0,41.5123,152.308,9.29455,144.367
-40.9634,0.826514,0.522476,2,7,0,41.5878,152.334,4.58395,156.21
-40.343,0.994187,0.522476,2,7,0,41.3289,147.445,9.83417,150.502
-43.4424,0.549099,0.522476,3,7,0,43.8169,149.013,21.2269,154.783
-40.2662,0.936351,0.522476,3,7,0,45.2,145.317,4.67514,149.622
-40.778,0.960914,0.522476,2,7,0,40.9704,146.27,2.05362,152.336
-39.9761,1,0.522476,3,7,0,40.707,147.537,5.6358,144.328
-41.5396,0.775597,0.522476,3,7,0,43.2172,144.343,1.4597,141.833
-41.3782,0.936384,0.522476,3,7,0,42.315,146.713,1.05224,145.751
-43.1929,0.939657,0.522476,2,3,0,43.3633,143.777,0.34,144.127
-40.8157,1,0.522476,3,7,0,43.2111,149.912,2.36298,154.758
-40.4938,0.996302,0.522476,2,3,0,40.9237,148.497,2.6581,145.862
-40.25,1,0.522476,2,3,0,40.669,146.467,3.68396,142.717
-41.1197,0.931179,0.522476,2,3,0,41.2004,147.816,13.2515,158.38
-42.0115,0.84895,0.522476,2,7,0,43.1657,142.599,1.83962,143.222
-41.365,0.97929,0.522476,2,7,0,42.5888,151.103,13.5723,158.628
-40.6843,0.450938,0.522476,2,3,0,43.9042,150.399,3.08546,151.569
-41.019,0.986065,0.522476,3,7,0,41.253,143.109,4.00598,136.712
-40.5422,0.981697,0.522476,2,7,0,41.6502,146.742,2.51329,146.006
-41.1129,0.981604,0.522476,2,7,0,41.3796,143.511,3.05142,140.634
-40.8518,1,0.522476,1,1,0,41.1128,144.198,3.13191,141.541
-40.4178,0.981774,0.522476,2,7,0,41.2547,148.81,3.0018,144.593
-40.41,0.944589,0.522476,1,3,0,41.0443,150.53,4.49348,153.863
-40.7617,0.990331,0.522476,2,7,0,41.0426,149.255,2.19349,147.956
-40.2709,0.991129,0.522476,1,3,0,41.0079,147.916,3.33093,148.871
-40.138,0.970981,0.522476,3,7,0,41.096,146.263,4.5277,142.467
-40.5714,0.97234,0.522476,2,3,0,40.5875,145.307,3.09438,144.289
-40.5597,0.831971,0.522476,2,5,0,43.6651,150.5,3.66448,152.092
-41.1517,0.938872,0.522476,1,3,0,42.2896,153.354,6.02291,153.206
-41.3332,0.976163,0.522476,1,1,0,41.3886,153.704,5.81264,150.931
-40.0101,0.98153,0.522476,2,3,0,41.5346,148.77,6.39746,150.263
-40.8512,0.859145,0.522476,1,3,0,41.6913,151.662,3.93083,141.466
-41.0436,0.977885,0.522476,2,5,0,41.807,142.153,8.15619,145.452
-39.9885,0.976573,0.522476,2,5,0,41.5516,147.959,6.91619,143.551
-40.2083,0.985936,0.522476,2,7,0,40.2899,145.581,4.76487,149.302
-40.2065,0.994537,0.522476,3,7,0,40.5599,145.863,8.22961,145.289
-40.4145,0.992805,0.522476,3,7,0,40.4946,150.408,4.28517,151.288
-40.3965,0.991044,0.522476,2,3,0,40.6179,149.603,9.71232,146.916
-40.1819,0.726044,0.522476,2,5,0,41.7249,148.019,3.76174,144.862
-40.9534,0.9255,0.522476,3,7,0,41.7658,144.065,2.93593,145.987
-41.8243,0.973573,0.522476,3,7,0,42.805,148.39,0.666317,148.801
-40.7695,0.987988,0.522476,2,5,0,42.0835,144.606,10.7262,120.345
-41.2795,0.812818,0.522476,2,7,0,41.7922,146.082,13.5855,107.36
-40.7581,1,0.522476,3,7,0,41.6924,152.502,7.94488,146.171
-40.0348,0.996732,0.522476,3,7,0,40.995,148.903,5.58422,145.671
-40.9503,0.898892,0.522476,2,3,0,41.1001,149.308,1.81644,151.262
-40.7937,0.955341,0.522476,2,7,0,41.5751,143.753,3.96098,154.639
-41.1864,0.946059,0.522476,2,3,0,41.5826,141.735,7.78641,141.711
-40.2107,0.993398,0.522476,3,7,0,41.5944,145.784,4.46564,144.276
-40.1186,0.94817,0.522476,3,7,0,41.0238,149.747,6.40232,156.103
-40.3112,0.947423,0.522476,2,7,0,40.6739,148.225,9.65971,136.805
-41.2697,0.868451,0.522476,2,3,0,41.3823,151.179,2.13628,151.771
-41.6774,0.973335,0.522476,3,7,0,42.5475,142.068,3.28169,145.453
-40.8553,0.985461,0.522476,2,3,0,41.7117,143.512,10.052,148.498
-40.0954,1,0.522476,2,3,0,40.9648,146.974,4.37951,138.881
-40.7978,0.902754,0.522476,1,3,0,41.9677,149.784,2.33923,151.707
-40.5358,0.998271,0.522476,3,7,0,40.9303,149.835,3.15341,149.002
-42.0433,0.913703,0.522476,3,7,0,43.5405,142.627,1.75978,139.156
-41.2723,0.996903,0.522476,2,3,0,42.2134,144.651,1.74132,146.126
-40.8249,0.844509,0.522476,2,3,0,42.0245,142.921,8.52436,133.815
-40.8432,1,0.522476,2,3,0,40.8842,142.815,8.34535,138.418
-41.9611,0.946501,0.522476,3,7,0,42.3482,140.255,6.32202,132.606
-41.4202,0.877133,0.522476,2,7,0,44.1294,153.093,4.01372,149.507
-41.3029,0.984657,0.522476,2,7,0,41.8627,150.533,13.5453,141.003
-40.2022,1,0.522476,2,3,0,41.0761,149.348,8.51251,141.503
-40.3825,0.755611,0.522476,2,3,0,41.4549,146.691,3.03378,150.254
-41.4972,0.983572,0.522476,3,7,0,41.5564,146.931,0.917164,145.749
-40.1775,0.922777,0.522476,3,7,0,42.0143,148.344,8.79127,170.101
-39.9867,0.917511,0.522476,2,3,0,40.5459,147.352,6.81758,153.963
-40.3814,0.943761,0.522476,3,7,0,40.6749,150.797,8.35917,143.63
-40.395,0.981648,0.522476,2,3,0,40.7745,151.101,6.0604,144.234
-40.3584,0.991231,0.522476,3,7,0,40.6011,149.539,9.51238,152.77
-40.1736,0.773249,0.522476,2,3,0,41.7501,147.697,3.77109,153.476
-40.392,0.933322,0.522476,3,7,0,42.1188,144.294,6.06793,139.221
-40.0538,0.979218,0.522476,2,7,0,40.9453,146.676,7.40601,149.053
-41.4264,0.889175,0.522476,2,3,0,41.5562,141.468,5.78944,150.407
-41.5818,0.986969,0.522476,3,7,0,42.4438,153.782,4.71959,152.53
-42.4483,0.996414,0.522476,3,7,0,43.1617,142.731,1.12331,143.108
-44.2579,0.728756,0.522476,1,3,0,48.8119,138.164,3.45017,143.08
-41.496,1,0.522476,2,3,0,44.3772,142.282,3.53499,144.389
-40.1199,1,0.522476,2,3,0,41.4029,145.941,5.12516,153.899
-41.5844,0.934433,0.522476,2,3,0,41.7273,152.944,3.2217,150.574
-43.6178,0.891664,0.522476,2,3,0,44.1714,154.769,1.36927,157.227
-40.1506,1,0.522476,2,3,0,43.7431,148.212,8.61989,163.724
-40.0461,1,0.522476,2,7,0,40.1458,148.639,7.44767,158.872
-40.445,0.764409,0.522476,2,3,0,41.6141,145.691,3.29272,146.631
-40.6463,0.956804,0.522476,2,3,0,41.2816,144.221,3.95668,139.96
-40.1047,0.858254,0.522476,2,3,0,43.7725,149.186,7.68107,141.85
-40.3295,0.975394,0.522476,2,3,0,40.4585,150.769,7.71224,142.085
-40.2,0.893846,0.522476,3,7,0,41.5743,145.935,4.37673,144.91
-41.2957,0.952933,0.522476,2,3,0,41.9073,148.991,13.8633,145.899
-41.4658,0.958816,0.522476,2,7,0,41.8767,145.792,1.09031,147.31
-40.0755,0.992193,0.522476,3,7,0,42.1739,147.255,4.43708,148.079
